BookId;Summary;CharactersPlacesNationalitiesScore;SubjectiveDetailScore
7;The story starts with some women talking about their neighbour across the road who has adopted a baby and they are gossiping about it. The story then changes to following this women (Eduora) as she walks the 'baby' in a pram to the Lancaster sisters house. Everyone is sceptical as the baby is said to never cry and she is not tired out from having a baby. As she is leaving the house she is informed that someone from her past. Harry, is back in the town and staying at an inn and it is hinted that they were once in love. On her walk home she runs into Harry who offers to marry her and bring up the baby together, she runs away and does not give him an answer but promises to in a few days. When that day arrives he goes to her house and it is the first we hear of the baby startling. She then confesses to Harry that all this time she has not actually been pushing a baby in the pram, but in fact linen for the Lancaster sisters as she had ran out of money and was ashamed of doing such a job. Harry is confused as there is a baby in the house and she confesses that she only adopted him the previous day as she did not want to deceive Harry when he made her the offer. They agree to get married and raise the baby together.;3;3
2;A story takes place in the Universe 'Arena'. Tunuvum of Genasi comes with humans to the Solar system. Tunuvum was paying some sort of debt to humanity. At the end there is some sort of attack and their bodies start dissolving.;3;2
8;A group of workers restoring an icebreaker are trapped on the wrong side of the river when the ice start to break. They decide to cross despite the risk to get to the town on the other side of the rivwe for the Easter celebrations.;0;2
6;It was about a bet between two Englishmen who had given a poor man a million pound bill and to see whether or not he would be able to survive a month on just that bill. There is a description on how he spent the money, how he met his future wife, made some of his own money through stocks and eventually managed to survive on just the million pound note.;1;2
9;The story is about a hunter that falls off the boat and finds himself on a remote island. He finds people inhabiting the place and quickly learns that the island owner is a hunter himself but has grown bored of hunting animals. He has now turned into hunting humans for pleasure. Protagonist is against this idea and wants to leave the island at once. However, he is told that the only way to do so is to win 3-day long hunt where he needs to outwit the murderer to save his life. Having no other choice he leaves the property and starts planting traps for the hunter. He manages to outwit the opponent and confronts him in his own bedroom.;0;3
5;The story is from the perspective of Daniel Upton, who is a friend of Edward Derby. It is noted from the start that Upton has killed Derby, but he is trying to prove through his story that he is not a murderer. Derby has been interested in magic from a young age, and after the death of his mother, he goes into a deep depression. After this depression, he marries Asenath, a fellow lover of the occult. In the years that follow, Derby exhibits strange behaviour and he and his wife withdraw from society. He is often seen doing things that he wasn't able to previously do, such as driving. He remains friends with Upton, and one night comes to him and alludes to the idea that Asenath has been using a form of magic on him. He also says that he believes that her father, Ephraim, is actually not dead. Slowly, it becomes clear that Asenath, and perhaps Ephraim, have been inhabiting Derby's body. Upton sends Derby to a sanitarium in Arkham, where he is said to come back to himself, but Upton realises it is still not him. The story concludes with a humped figure coming to Upton's door, leaving a note telling him to kill Derby in order to break the curse and kill Ephraim. It becomes clear that the figure is the decomposing body of Asenath.;5;3
8;Russian workers were stuck on an icebreaker ship. They were hungry, miserable, and wanted to join villagers at a festival. One of the men convinced the rest to take risk and to try to cross the frozen river on foot. The lives of men were endangered, and they hardly made it to land alive. The men were dishonest, stealing equipment from their employer and not doing their job properly, while trying to make an impression that they are good workers. The men especially did not approve of the young boss, who was responsible for keeping records of stock and who tried to keep evidence of the true stock usage and losses. In the end, one of the men destroyed the notebook containing the records by throwing it into the river. While the men knew that they were wrongdoing, they were suggesting to the boss that their behaviour was justified in these miserable circumstances but in reality, they were most likely trying to hide their true feelings of guilt and weaknesses.;1;3
2;A high-ranking alien commander (Tunuvun) is brought back to earth by a high-ranking human. The alien nearly dies by leaving the spaceship too early but is stopped by the human (Saul). The humans commanders discuss how to deal with an impending attack by an enemy race of aliens. They fear that they will not have enough defences, and Tunuvun's race can only help so much. Saul and Tunuvun retreat to Saul's home. Saul tries to take a mysterious message and Tunuvun carries him away, covering his eyes, ears and mouth. It turns out that he has saved Saul's life as the message triggered an attack.;2;2
8;The narrator was working under his uncle's orders to supervise a group of men to fix an icebreaker ship. The leader of the group was called Ossip and he was lazy and kept selling timber from the ship for money. Two days before Easter, the men decided to cross the frozen river to join the carnival in town. Led by Ossip, the group crossed the river safely, though quite a few including Ossip had fallen into the river. Ossip later tried to put the blame on the others but relented after the workers retaliated. The police then came and was going to punish Ossip, who proposed the dangerous river-crossing. However, Ossip escaped from further punishment by telling them them he already learned the lesson, as he broke a leg during the crossing. At the end, it was revealed that Ossip never injured his leg, and he lied only to get help with crossing and to avoid others venting their anger and blame on him.;1;3
5;Ed Derby's body is being taken over by his new wife Asenath, who's body had been taken over by her wizard father. His friend sends who he believes to be Ed to the asylum but in fact whose recovery is actually Asenath regaining control of Ed. Ed had killed Asenath in an attempt to finally be free but they had finally swapped bodies, Ed returning to Asenaths decaying corpse. In this form he informs his friend Dan that his body was in fact the wizard and to kill him.;3;2
4;The broadway actress Mrs Fuller is not content with life as she approaches 40. She takes a contract in Hollywood, something she had refused to do before, and realised that she actually had everything she wanted back in New York.;3;1
