"";"UserId";"Eexp1LongformEFreq";"Eexp2DeviceRecFreq";"NumberOfDevices"
"1";"6";2;4;"2"
"2";"7";3;8;"3"
"3";"8";3;6;"1"
"4";"9";2;4;"2"
"5";"10";5;6;"1"
"6";"11";3;7;"2"
"7";"12";3;11;"3"
"8";"13";2;7;"4"
"9";"14";6;10;"3"
"10";"15";3;10;"3"
"11";"16";6;6;"4"
"12";"17";8;9;"2"
"13";"18";4;11;"2"
"14";"19";6;15;"4"
"15";"20";5;8;"3"
"16";"21";3;4;"2"
"17";"22";4;6;"2"
"18";"23";7;10;"2"
"19";"24";3;10;"3"
"20";"28";4;10;"2"
"21";"29";3;6;"2"
"22";"30";8;12;"3"
"23";"31";2;4;"3"
"24";"32";2;6;"2"
"25";"34";4;8;"2"
"26";"35";5;9;"2"
"27";"36";6;8;"2"
"28";"37";2;8;"2"
"29";"38";2;4;"4"
"30";"39";2;5;"2"
"31";"40";4;7;"2"
"32";"41";2;4;"3"
"33";"42";2;4;"1"
"34";"43";2;4;"2"
"35";"44";6;16;"2"
"36";"45";5;13;"2"
"37";"46";2;5;"2"
"38";"47";3;9;"4"
"39";"48";6;9;"1"
"40";"49";2;6;"2"
"41";"50";4;6;"5"
"42";"51";7;9;"1"
"43";"52";4;6;"1"
"44";"53";5;17;"1"
"45";"55";4;12;"4"
"46";"57";2;8;"2"
"47";"58";4;15;"2"
"48";"60";4;7;"3"
"49";"62";2;4;"2"
"50";"63";5;9;"2"
"51";"64";6;14;"1"
"52";"65";3;10;"1"
"53";"66";3;11;"2"
"54";"67";3;6;"3"
"55";"72";3;13;"4"
"56";"74";4;10;"3"
"57";"75";5;9;"2"
"58";"76";2;13;"2"
"59";"77";5;4;"3"
"60";"92";4;10;"3"
