UserId;StoryId;Questionnaire;QuestionNumber;Question;Answer,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;1;I think that recreational reading is boring;1 <br/> Not at all true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;2;I think recreational reading is enjoyable;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;3;I am skilled at reading;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;4;I like recreational reading;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;5;I put a lot of effort into recreational reading;3,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;6;After reading for a while, I feel skilled;5,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;7;I read recreationally for the fun of it;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;8;I think I am good at reading;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;9;While I am reading recreationally, I think about how much I enjoy it;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;10;I am satisfied with how well I can read;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;11;I put energy into recreational reading;4 <br/> Somewhat true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;12;If I could choose what to do right now, I would read recreationally;3,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;13;I try hard when I read recreationally;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;14;I would describe recreational reading as interesting;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;15;I try hard to read well;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;16;It is important to me to do well at reading;5,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;17;Overall, I enjoy recreational reading;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;18;Reading is an activity that I can do well;6,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;19;Recreational reading is fun to do;7 <br/> Very true,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire11;20;I think I read well, in comparison to others;5,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;21;Age;22,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;22;Gender;Female,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;23;Is your native language English?;Yes,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;24;What is the highest level of education you have attained?;Undergraduate,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;25;How often do you read for pleasure?;A few times a month,,,,,,,,,,,,,,,,,,,,,,,
6;7;questionnaire12;26;How often do you read as part of work or study?;Every day,,,,,,,,,,,,,,,,,,,,,,,
