"";"UserId";"ReadingSessionNumber";"SessionLength";"DisengagementDuration";"DialogDuration";"DisruptedEngagementDuration";"EngagementProportion";"DisengagementProportion";"DialogAndDisengagementProportion";"PotentialReadingSessionArtefact"
"1";"6";1;66,09305;64,9640833333333;0,870216666666667;0,25875;0;0,982918526733648;0,996085064919836;TRUE
"2";"6";2;0;0;0;0;NA;NA;NA;TRUE
"3";"6";3;1,65215;1,62468333333333;0;0,0274666666666667;0;0,983375197974357;0,983375197974357;TRUE
"4";"7";1;1,49601666666667;0,0895833333333333;1,19996666666667;0,206466666666667;0;0,0598812401822618;0,861989059836677;TRUE
"5";"8";1;16,1617166666667;14,0722833333333;0,86865;0,221316666666667;0,0618416154224541;0,870717116477932;0,924464500986384;TRUE
"6";"12";1;0,565566666666667;0,00893333333333333;0,46485;0,0917833333333333;0;0,0157953674780456;0,837714386750751;TRUE
"7";"12";4;83,6775166666667;83,2259666666667;0;0,45155;0;0,994603687848448;0,994603687848448;TRUE
"8";"12";2;0,293233333333333;0;0;0;1;0;0;TRUE
"9";"14";1;0,802166666666667;0,0312333333333333;0,466383333333333;0;0,379659256181176;0,0389362144192811;0,620340743818824;TRUE
"10";"15";1;0,5784;0,185133333333333;0,376733333333333;0,0165333333333333;0;0,320078377132319;0,971415398801291;TRUE
"11";"21";1;0,657916666666667;0,0287;0,541983333333333;0,0872333333333333;0;0,0436225459151362;0,867409753008233;TRUE
"12";"34";1;155,03285;148,9498;0,396066666666667;0,0347333333333333;0,036458402203146;0,960762831877244;0,963317559257065;TRUE
"13";"34";3;0;0;0;0;NA;NA;NA;TRUE
"14";"44";1;1,97598333333333;0,0137166666666667;1,96226666666667;0;0;0,00694169147850437;1;TRUE
"15";"44";2;1,6351;1,6351;0;0;0;1;1;TRUE
"16";"44";3;0,483566666666667;0,0134166666666667;0,0427333333333333;0;0,883883642379541;0,0277452264424071;0,116116357620459;TRUE
"17";"50";1;13,2941666666667;12,8969166666667;0,39725;0;0;0,97011847301448;1;TRUE
"18";"52";1;0,946066666666667;0,946066666666667;0;0;0;1;1;TRUE
"19";"57";1;0,277366666666667;0,00773333333333333;0,269633333333333;0;0;0,0278812642711213;1;TRUE
"20";"60";1;0,897233333333333;0,02475;0,854233333333333;0,01825;0;0,0275847977114834;0,979659694616785;TRUE
"21";"64";1;38,6856;34,3256833333333;1,27218333333333;0,07495;0,0778786766479862;0,887298719247816;0,920183909947543;TRUE
"22";"75";2;0;0;0;0;NA;NA;NA;TRUE
"23";"77";2;0,0565333333333333;0,0565333333333333;0;0;0;1;1;TRUE
"24";"77";3;12,2918;12,1344166666667;0;0,157383333333333;0;0,987196071093466;0,987196071093466;TRUE
"25";"92";1;1,051;0,06255;0,960916666666667;0,0275333333333333;0;0,0595147478591817;0,973802727561053;TRUE
